0.4921 	WARNING 	Movie2 stim could not be imported and won't be available
66.0268 	EXP 	text_3: autoDraw = True
66.2942 	DATA 	Keypress: left
66.2949 	EXP 	New trial (rep=2, index=0): {u'colour': u'red', u'word': u'red', u'congruent': 1, u'corrAns': u'left'}
66.2972 	EXP 	window1: recordFrameIntervals = False
66.3105 	EXP 	text: autoDraw = False
66.3105 	EXP 	text_2: autoDraw = False
66.3105 	EXP 	text_3: autoDraw = False
66.3105 	EXP 	text_3: color = u'red (named)'
66.3105 	EXP 	text_3: text = u'red'
66.3105 	EXP 	text: autoDraw = True
66.3106 	EXP 	window1: recordFrameIntervals = False
67.3109 	EXP 	text: autoDraw = False
67.8280 	EXP 	text_2: autoDraw = True
68.1626 	DATA 	Keypress: right
68.8114 	EXP 	text_2: autoDraw = False
69.3112 	EXP 	text_3: autoDraw = True
69.5469 	DATA 	Keypress: right
69.5620 	EXP 	New trial (rep=2, index=1): {u'colour': u'yellow', u'word': u'blue', u'congruent': 0, u'corrAns': u'right'}
69.5641 	EXP 	window1: recordFrameIntervals = False
69.5781 	EXP 	text: autoDraw = False
69.5781 	EXP 	text_2: autoDraw = False
69.5781 	EXP 	text_3: autoDraw = False
69.5781 	EXP 	text_3: color = u'yellow (named)'
69.5781 	EXP 	text_3: text = u'blue'
69.5781 	EXP 	text: autoDraw = True
69.5782 	EXP 	window1: recordFrameIntervals = False
70.5780 	EXP 	text: autoDraw = False
71.0779 	EXP 	text_2: autoDraw = True
72.0798 	EXP 	text_2: autoDraw = False
72.5792 	EXP 	text_3: autoDraw = True
73.0299 	DATA 	Keypress: left
73.0306 	EXP 	New trial (rep=2, index=2): {u'colour': u'red', u'word': u'green', u'congruent': 0, u'corrAns': u'right'}
73.0331 	EXP 	window1: recordFrameIntervals = False
73.0466 	EXP 	text: autoDraw = False
73.0466 	EXP 	text_2: autoDraw = False
73.0466 	EXP 	text_3: autoDraw = False
73.0466 	EXP 	text_3: color = u'red (named)'
73.0466 	EXP 	text_3: text = u'green'
73.0466 	EXP 	text: autoDraw = True
73.0467 	EXP 	window1: recordFrameIntervals = False
74.0462 	EXP 	text: autoDraw = False
74.5630 	EXP 	text_2: autoDraw = True
75.5469 	EXP 	text_2: autoDraw = False
